date,weekday,is_weekend,weather_desc,temp,rain,snow,wind,cloud,total,male,female,sex_unknown,10s,20s,30s,40s,50s,60s,70s+,age_unknown,humid,is_rain,is_snow
2024-01-01,Monday,0,흐림+눈,3.3,0,2.4,1.7,6.4,32873,15314,7714,9845,2052,9205,7969,4845,3883,1521,314,3084,83.4,0,1
2024-01-02,Tuesday,0,흐림,2.9,0,0,1.6,8.9,50756,22311,13461,14984,2380,12363,12333,8863,6909,2749,528,4631,72.6,0,0
2024-01-03,Wednesday,0,흐림+비,1.8,0.6,0,1.6,6,44181,19876,11276,13029,2021,10664,10706,7693,6118,2559,487,3933,80.4,1,0
2024-01-04,Thursday,0,흐림,1.4,0,0,1.9,6.1,52508,23018,13969,15521,2459,12636,12554,9126,7191,3113,571,4858,74.3,0,0
2024-01-05,Friday,0,맑음,5,0,0,2.3,4.1,54682,23988,14387,16307,2572,13135,13116,9383,7622,3172,571,5111,77.1,0,0
2024-01-06,Saturday,1,맑음+비+눈,0.7,2.4,6,2.2,2.3,39059,17434,10055,11570,1999,10291,9419,6222,5086,2182,421,3439,63.9,1,1
2024-01-07,Sunday,1,맑음+눈,-4.4,0,5.6,3.1,0.1,23543,11342,5271,6930,1353,6944,5912,3316,2741,1088,169,2020,57.4,0,1
2024-01-08,Monday,0,맑음+눈,-4.7,0,1.5,1.8,3.8,40815,18221,10635,11959,1838,10110,10119,7149,5554,2072,426,3547,57.8,0,1
2024-01-09,Tuesday,0,흐림+비+눈,-0.6,1.6,3.1,2,8.5,26814,13162,5837,7815,1231,6394,6821,4691,3718,1500,282,2177,84,1,1
2024-01-10,Wednesday,0,맑음+눈,-1,0,3,1.7,3.1,41846,18934,10730,12182,1835,10133,10187,7353,5824,2406,499,3609,85.9,0,1
2024-01-11,Thursday,0,흐림+눈,1.7,0,2,1.9,7,48420,21267,12727,14426,2174,11707,11677,8474,6759,2768,505,4356,80.6,0,1
2024-01-12,Friday,0,맑음,0.9,0,0,2.3,0,50061,22031,13240,14790,2228,12008,11965,8817,6986,2968,571,4518,61.6,0,0
2024-01-13,Saturday,1,맑음,0.4,0,0,1.4,0.3,42393,18911,10887,12595,2253,11124,10314,6677,5437,2306,384,3898,44.3,0,0
2024-01-14,Sunday,1,맑음+비,-0.6,3.1,0,2.1,5.8,22329,10826,5033,6470,1317,6361,5259,3256,2780,1253,201,1902,74.5,1,0
2024-01-15,Monday,0,맑음,-3.7,0,0,2.5,0,43006,19033,11257,12716,1894,10676,10571,7589,5796,2332,401,3747,51.3,0,0
2024-01-16,Tuesday,0,맑음,-2.1,0,0,1.5,2.3,47383,20817,12709,13857,2128,11490,11507,8343,6473,2768,510,4164,49.8,0,0
2024-01-17,Wednesday,0,흐림+비+눈,0.6,9.7,2.3,2,9.4,26732,12572,6397,7763,926,6156,6850,4942,3869,1631,267,2091,78.5,1,1
2024-01-18,Thursday,0,맑음+비+눈,4.5,0.5,1.1,2.4,4.5,46517,20538,12300,13679,2048,11283,11100,8149,6462,2736,516,4223,81.5,1,1
2024-01-19,Friday,0,흐림,5.4,0,0,4.5,7,53094,23227,14062,15805,2286,12876,12762,9353,7321,3173,558,4765,65.4,0,0
2024-01-20,Saturday,1,흐림+비+강풍,3.4,0.4,0,5.3,8.9,30232,14145,7289,8798,1565,7980,7330,4680,3964,1846,307,2560,69.5,1,0
2024-01-21,Sunday,1,흐림+비,1.7,0.4,0,2.5,9.1,27467,12965,6471,8031,1586,7670,6487,4154,3483,1540,246,2301,75.8,1,0
2024-01-22,Monday,0,맑음+비+눈,-8.7,0.2,2.3,4.1,5,32281,14811,8103,9367,1407,8021,8138,5791,4215,1714,311,2684,65.6,1,1
2024-01-23,Tuesday,0,맑음,-11.7,0,0,3.9,0.5,30002,13757,7512,8733,1178,7434,7645,5460,4026,1543,307,2409,53.6,0,0
2024-01-24,Wednesday,0,맑음,-8,0,0,3.3,0,33870,15304,8638,9928,1370,8107,8579,6145,4702,1888,375,2704,52,0,0
2024-01-25,Thursday,0,맑음,-5.3,0,0,2.1,0,40007,17969,10399,11639,1669,9491,9820,7193,5602,2371,445,3416,47.8,0,0
2024-01-26,Friday,0,맑음,-1.7,0,0,1.9,0.8,46604,20835,12044,13725,1982,11032,11267,8303,6657,2744,554,4065,62.5,0,0
2024-01-27,Saturday,1,맑음,-0.5,0,0,1.8,2.9,39381,17858,10004,11519,2110,10195,9539,6232,5055,2258,407,3585,70,0,0
2024-01-28,Sunday,1,맑음,-1.5,0,0,1.9,2,34554,15857,8664,10033,1957,9478,8291,5476,4291,1813,306,2942,62.3,0,0
2024-01-29,Monday,0,맑음,-0.4,0,0,1.7,2,47597,20893,12605,14099,2135,11397,11519,8470,6559,2677,508,4332,66.6,0,0
2024-01-30,Tuesday,0,맑음,1.4,0,0,1.4,2.3,51411,22520,13852,15039,2301,12276,12275,9201,7086,3008,583,4681,59.3,0,0
2024-01-31,Wednesday,0,맑음,4.7,0,0,1.9,2.6,54444,23718,14889,15837,2577,12991,13058,9534,7471,3259,613,4941,54.1,0,0
2024-02-01,Thursday,0,흐림,2.4,0,0,2.1,6.4,53588,23215,14671,15702,2687,12856,12703,9334,7367,3124,579,4938,64.9,0,0
2024-02-02,Friday,0,맑음,3.1,0,0,2.1,5.4,55412,24164,14975,16273,2660,13229,13040,9722,7722,3308,609,5122,65.5,0,0
2024-02-03,Saturday,1,흐림,4.7,0,0,2.2,8.4,44530,19723,11720,13087,2396,11670,10762,7038,5800,2405,454,4005,63.9,0,0
2024-02-04,Sunday,1,흐림,7.3,0,0,1.8,8.6,47539,20957,12630,13952,2810,12825,11549,7510,5731,2150,362,4602,60.9,0,0
2024-02-05,Monday,0,흐림+비+눈+강풍,2.7,3.9,3.6,5,10,21798,10741,4964,6093,1258,5513,5174,3645,2941,1238,276,1753,81.8,1,1
2024-02-06,Tuesday,0,흐림+비+눈,1.2,0.2,3.8,2.2,8.8,46089,20451,12145,13493,2242,11223,11063,8006,6275,2633,516,4131,83.5,1,1
2024-02-07,Wednesday,0,흐림,0.6,0,0,2.1,6.6,49974,22150,13196,14628,2443,11915,11973,8741,6956,2908,529,4509,76.6,0,0
2024-02-08,Thursday,0,맑음,0.6,0,0,1.6,2,53023,23331,14031,15661,2586,12652,12690,9190,7468,3138,569,4730,66.9,0,0
2024-02-09,Friday,0,맑음,1.1,0,0,2.2,3.3,34031,15486,8416,10129,1844,9425,8220,5012,4249,1950,338,2993,66.8,0,0
2024-02-10,Saturday,1,맑음,1.7,0,0,1.9,2.3,26555,12188,6471,7896,1489,7696,6608,3912,2986,1328,240,2296,69.4,0,0
2024-02-11,Sunday,1,맑음,1,0,0,2.2,2,31655,14676,7644,9335,1927,8841,7632,4711,3811,1588,316,2829,70.6,0,0
2024-02-12,Monday,0,맑음,3.5,0,0,1.8,0.3,44012,19383,11562,13067,2567,11998,10586,6848,5284,2134,423,4172,62.8,0,0
2024-02-13,Tuesday,0,맑음,8.2,0,0,2.5,2.5,60100,25732,16623,17745,3141,15234,14179,10052,7896,3246,637,5715,70.6,0,0
2024-02-14,Wednesday,0,흐림,12.9,0,0,2.2,7,67555,28395,19088,20072,3411,16901,15795,11367,8862,3751,747,6721,76.4,0,0
2024-02-15,Thursday,0,흐림+폭우+눈,4.5,10.9,1.5,2.9,7.6,37802,17708,9023,11071,1741,9081,9275,6600,5351,2070,356,3328,89.9,1,1
2024-02-16,Friday,0,맑음,2.3,0,0,1.8,0.6,57884,25126,15927,16831,2979,14021,13629,9917,7911,3367,643,5417,72.4,0,0
2024-02-17,Saturday,1,맑음,4.4,0,0,1.7,0,55349,23787,15176,16386,3216,14382,13377,8926,6833,2801,518,5296,73.5,0,0
2024-02-18,Sunday,1,흐림+폭우,6.2,17.1,0,2.8,7.1,29946,13891,7364,8691,1620,8147,7121,4730,3860,1616,267,2585,81.4,1,0
2024-02-19,Monday,0,흐림+비,9.1,8.9,0,2.3,9.6,28420,13130,7023,8267,1370,7046,7108,4907,3740,1589,315,2345,95.8,1,0
2024-02-20,Tuesday,0,흐림+비,4.3,2.6,0,3.4,9.9,36963,16999,9509,10455,1639,8778,8954,6590,5285,2195,444,3078,86.3,1,0
2024-02-21,Wednesday,0,흐림+폭우+눈+강풍,1.9,17.8,5.2,5.2,10,8366,4718,1425,2223,434,1958,1992,1462,1220,550,115,635,92.5,1,1
2024-02-22,Thursday,0,흐림+비+눈,0.2,8.8,13.8,4.2,9.8,21864,10629,5015,6220,1170,5351,5407,3779,3024,1165,245,1723,84.5,1,1
2024-02-23,Friday,0,맑음+비+눈,1.8,0.4,10.2,3.5,5.9,47319,21254,12239,13826,2248,11540,11272,8341,6437,2682,540,4259,68.8,1,1
2024-02-24,Saturday,1,흐림+비+눈,2,2.3,2,2.9,7.4,39195,17744,9990,11461,2096,9986,9504,6362,5196,2167,394,3490,68.6,1,1
2024-02-25,Sunday,1,흐림+비+눈,2.8,1.8,0.2,2,6.4,35142,15911,9054,10177,2243,9755,8638,5430,4090,1568,270,3148,80.8,1,1
2024-02-26,Monday,0,맑음,3.8,0,0,1.9,2.1,57214,24661,15785,16768,2786,14345,13535,9686,7656,3197,611,5398,65.3,0,0
2024-02-27,Tuesday,0,흐림,5.3,0,0,3,7.5,59822,25801,16523,17498,2767,14719,14158,10368,8139,3341,672,5658,52,0,0
2024-02-28,Wednesday,0,흐림,6.4,0,0,2.1,8.5,61573,26486,17025,18062,2950,15135,14447,10607,8479,3560,648,5747,59.5,0,0
2024-02-29,Thursday,0,흐림,4.8,0,0,2.2,6.8,58878,25703,15963,17212,2895,14249,13916,10169,8133,3405,634,5477,63.6,0,0
2024-03-01,Friday,0,맑음,-4.1,0,0,4.4,0,32493,15204,7870,9419,1976,8788,7817,4993,4136,1748,286,2749,38.9,0,0
2024-03-02,Saturday,1,맑음,-0.5,0,0,3.2,4.5,37604,17070,9543,10991,2312,10215,9148,5812,4546,1888,349,3334,60.4,0,0
2024-03-03,Sunday,1,맑음,4,0,0,2.9,2.3,43827,19618,11482,12727,2655,11895,10657,6819,5209,2070,340,4182,71.5,0,0
2024-03-04,Monday,0,맑음,5.4,0,0,1.6,4.5,60645,25918,17048,17679,3127,15111,14323,10386,8084,3320,623,5671,45.5,0,0
2024-03-05,Tuesday,0,흐림,8,0,0,2.9,8.8,61436,26363,17067,18006,2893,14868,14606,10906,8374,3488,638,5663,45.1,0,0
2024-03-06,Wednesday,0,맑음,6.2,0,0,2.8,5.9,64006,27351,18058,18597,3009,15437,15059,11260,8832,3704,675,6030,58.8,0,0
2024-03-07,Thursday,0,맑음+비,3.9,2.1,0,3,5,56114,24542,15318,16254,2652,13568,13298,9866,7802,3193,598,5137,62.4,1,0
2024-03-08,Friday,0,맑음,2.1,0,0,3.4,0.4,57127,24973,15691,16463,2819,13653,13425,10083,7961,3230,616,5340,50.6,0,0
2024-03-09,Saturday,1,맑음,2,0,0,2.7,0,50159,22062,13446,14651,2690,13112,11982,8043,6463,2589,486,4794,50.8,0,0
2024-03-10,Sunday,1,맑음,4.2,0,0,2.1,1,51773,22504,14236,15033,3089,13816,12486,8516,6076,2321,419,5050,54,0,0
2024-03-11,Monday,0,흐림,6.2,0,0,2.1,7,62711,26850,17819,18042,3035,15196,14906,11096,8515,3387,672,5904,62.3,0,0
2024-03-12,Tuesday,0,흐림+비,6.6,2.1,0,2.1,6,48464,21556,13006,13902,2610,11900,11341,8199,6588,2861,542,4423,78,1,0
